disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3
pancancer,gdsc,mean,False,150925,613,285,50,-0.01753728580741496,-0.02492275043457207,-0.010151821180257852,-0.021493093053052453,0.991367437876496,-0.00029566474561839586,,,,,,
pancancer,gdsc,drugmean,False,150925,613,285,50,0.0008881333932822166,-0.0007082042004931976,0.002484470987057631,-0.003004629455082418,0.9924117867698967,-0.0024042867912068997,3.0,613.0,0.013594344752582924,0.00864954508153797,0.012624646633673834,0.33429388608280425
pancancer,gdsc,enet_resid,True,150925,613,285,50,0.09960467871862641,0.09582029363564547,0.10338906380160735,0.15159593853769687,0.9810792301534514,0.0227078322791159,,,,,,
pancancer,gdsc,enet_expr,False,150925,613,285,50,0.0994004547242652,0.0963155708215776,0.1024853386269528,0.1510610261970778,0.9799628052226691,0.022586379875254158,,,,,,
pancancer,ctrp,mean,False,247403,631,479,50,-0.02941664710373428,-0.04754716622148443,-0.011286127985984128,-0.03259603324880133,0.9999152897110607,-0.0007713755756820984,,,,,,
pancancer,ctrp,drugmean,False,247403,631,479,50,-0.08136522244287975,-0.09069865014014505,-0.07203179474561444,-0.0879669308765945,1.0019429274272844,-0.00483430032942489,3.0,631.0,0.006339144215530904,-0.05451267114659008,-0.0811798915118047,0.4559987603421839
pancancer,ctrp,enet_resid,True,247403,631,479,50,0.1278575368094081,0.12321583323132165,0.13249924038749453,0.14609800547344054,0.9913730232474046,0.0209870325618557,,,,,,
pancancer,ctrp,enet_expr,False,247403,631,479,50,0.12558235332060283,0.11880775284446331,0.13235695379674234,0.14385757504685376,0.989332024147924,0.020299661136183665,,,,,,
pancancer,both,mean,False,398328,810,678,50,-0.018935256823284476,-0.02455140714662952,-0.013319106499939434,-0.018420560466096185,0.9965479515138529,-0.00022162074707825495,,,,,,
pancancer,both,drugmean,False,398328,810,678,50,-0.028711830501247464,-0.0360985109686415,-0.021325150033853428,-0.033537255088185725,0.9979975988763709,-0.0031338182230257862,3.0,810.0,0.006584362139917695,-0.02503559065514823,-0.03706178615434299,0.4092229960631978
pancancer,both,enet_resid,True,398328,810,678,50,0.0997313041884608,0.09840975055848808,0.10105285781843351,0.14070579213385825,0.9880965218734568,0.019743156856072953,,,,,,
pancancer,both,enet_expr,False,398328,810,678,50,0.09762956956837829,0.09608558426486687,0.09917355487188971,0.13858600911333113,0.9868467866012336,0.01915725636584189,,,,,,
