drug_class,drug,tissue,n_lines,spearman,perm_p,hit
BRAF,PLX-4720,SKCM,53,0.5044347685857119,0.0099,True
BRAF,PLX-4720,COAD/READ,48,0.4471993052540165,0.0099,True
BRAF,PLX-4032,SKCM,45,0.4199472990777337,0.0099,True
BRAF,PLX-4032,COAD/READ,38,0.0333680452979503,0.4455,False
BRAF,dabrafenib,SKCM,45,0.4398682476943346,0.0099,True
BRAF,dabrafenib,COAD/READ,43,0.3638779824826336,0.0396,True
MEK,trametinib,SKCM,46,0.566154794942954,0.0099,True
MEK,trametinib,COAD/READ,44,0.3693305144467935,0.0693,False
MEK,trametinib,LUAD,61,0.4382971972501321,0.0099,True
MEK,trametinib,PAAD,30,0.0191768631813125,0.396,False
MEK,selumetinib,SKCM,52,0.6417484845897721,0.0099,True
MEK,selumetinib,COAD/READ,47,0.2707446808510638,0.0693,False
MEK,selumetinib,LUAD,69,0.2363098282791377,0.0792,False
MEK,selumetinib,PAAD,36,-0.1901158301158301,0.7129,False
MEK,Refametinib,SKCM,33,0.1108957219251336,0.2772,False
MEK,Refametinib,COAD/READ,39,0.2463967611336032,0.1089,False
MEK,Refametinib,LUAD,54,0.4487974080426909,0.0099,True
MEK,Refametinib,PAAD,25,-0.0615384615384615,0.6238,False
EGFR/HER2,erlotinib,LUAD,69,0.1736040701942186,0.1089,False
EGFR/HER2,erlotinib,BRCA,49,0.4787959183673469,0.0099,True
EGFR/HER2,erlotinib,HNSC,33,0.2822860962566845,0.099,False
EGFR/HER2,gefitinib,LUAD,69,0.2613737668980637,0.0693,False
EGFR/HER2,gefitinib,BRCA,48,0.298762483716891,0.0198,True
EGFR/HER2,gefitinib,HNSC,33,0.3372994652406417,0.0594,False
EGFR/HER2,afatinib,LUAD,68,0.2202160552735045,0.0495,True
EGFR/HER2,afatinib,BRCA,49,0.2932244897959183,0.0396,True
EGFR/HER2,afatinib,HNSC,30,0.1240044493882091,0.297,False
EGFR/HER2,lapatinib,LUAD,69,0.3150529777128242,0.0198,True
EGFR/HER2,lapatinib,BRCA,48,0.5019322622666087,0.0099,True
EGFR/HER2,lapatinib,HNSC,33,0.5168449197860963,0.0297,True
BCR-ABL/SRC,dasatinib,ALL,23,0.0523715415019762,0.3861,False
BCR-ABL/SRC,dasatinib,LAML,21,-0.5550649350649351,0.9307,False
BCR-ABL/SRC,nilotinib,ALL,23,-0.1274703557312252,0.6139,False
BCL2,ABT-199,ALL,23,0.6191699604743083,0.0099,True
BCL2,Venetoclax,DLBC,26,0.2202393162393162,0.1287,False
BCL2,Venetoclax,LAML,20,0.1046616541353383,0.3564,False
BCL2,Navitoclax,DLBC,26,0.0034871794871794,0.3465,False
BCL2,navitoclax,ALL,23,-0.0353754940711462,0.3762,False
BCL2,navitoclax,LAML,21,0.1366233766233766,0.2079,False
IGF1R,BMS-754807,SARC,30,0.5278309232480534,0.0099,True
IGF1R,BMS-754807,BRCA,49,0.350469387755102,0.0099,True
IGF1R,BMS-754807,OV,38,-0.12056023634971,0.6139,False
IGF1R,linsitinib,SARC,30,0.4294104560622914,0.0297,True
IGF1R,linsitinib,BRCA,48,0.07405557967868,0.3564,False
IGF1R,linsitinib,OV,38,0.3808075281759492,0.0198,True
IGF1R,NVP-ADW742,SARC,30,0.4428476084538376,0.0396,True
IGF1R,NVP-ADW742,BRCA,48,0.2021059487624837,0.099,False
IGF1R,NVP-ADW742,OV,38,0.3380895065105592,0.0396,True
MDM2/p53,nutlin-3,SARC,30,0.5983982202447165,0.0099,True
MDM2/p53,nutlin-3,ALL,23,0.5290513833992095,0.0099,True
MDM2/p53,nutlin-3,COAD/READ,48,0.3235128093790707,0.0198,True
MDM2/p53,RITA,SARC,28,0.7288451012588942,0.0099,True
MDM2/p53,RITA,COAD/READ,38,0.4654119706751286,0.0099,True
