disease,drug_name,n_lines,spearman,spearman_lo,perm_mean,perm_sd,perm_p
ALL,GSK525762A,22,-0.085940146809712,-0.3626966516037923,-0.0903,0.28,0.4455
ALL,erlotinib,23,-0.0229249011857707,-0.2086351357995214,-0.1309,0.2612,0.3762
ALL,Afuresertib,22,0.1186900056465273,0.0784772390168937,-0.0164,0.2723,0.3564
ALL,Palbociclib,22,0.0866177300959909,-0.0117332015093031,-0.0537,0.2701,0.297
ALL,BRD-K88742110,22,-0.1236589497459062,-0.2431866909082506,-0.1103,0.2599,0.5149
ALL,doxorubicin,23,0.1517786561264822,0.0311019463430797,-0.1038,0.2854,0.2772
ALL,Uprosertib,22,0.2027103331451158,0.1332069470412403,-0.0337,0.2604,0.1683
ALL,tanespimycin,21,-0.3675324675324675,-0.4696366114167737,-0.0617,0.2663,0.8911
ALL,lapatinib,23,0.2561264822134387,0.1682492620825547,-0.0623,0.2477,0.1089
ALL,nutlin-3,23,0.5290513833992095,0.4986152928775464,-0.0138,0.2632,0.0099
ALL,Taselisib,22,-0.4220214568040655,-0.6146649025677532,-0.0717,0.2755,0.8911
ALL,dabrafenib,23,-0.0535573122529644,-0.0959338446857071,-0.1067,0.2485,0.4455
ALL,PRIMA-1-Met,21,-0.5174025974025974,-0.5873011685463189,-0.1038,0.2751,0.9406
ALL,MK-1775,23,0.324901185770751,0.2722925964312136,-0.0614,0.2868,0.0891
ALL,temozolomide,23,-0.1387351778656126,-0.3018725998846842,-0.1226,0.2538,0.505
ALL,Vismodegib,20,-0.0039097744360902,-0.1751404652414601,-0.0607,0.2531,0.4257
ALL,GDC0810,22,-0.28514963297572,-0.413085625970952,-0.0996,0.2812,0.7327
ALL,AGI-6780,21,0.0451948051948052,-0.067040402374753,-0.0663,0.2722,0.3564
ALL,Serdemetan,20,0.0769924812030075,-0.1012451006024776,-0.0953,0.2739,0.2673
ALL,cyclophosphamide,22,0.1984189723320158,0.1228910714623587,-0.0707,0.2505,0.1782
ALL,Buparlisib,22,0.0649350649350649,-0.0217656439435718,-0.0561,0.2709,0.3663
ALL,foretinib,23,-0.1177865612648221,-0.2297714276047794,-0.0879,0.2851,0.5347
ALL,selumetinib,23,0.3213438735177866,0.2902868108322747,-0.068,0.2412,0.0495
ALL,JQ-1,21,-0.1553246753246753,-0.3676964497640118,-0.1013,0.2418,0.6238
ALL,Wee1 Inhibitor,22,0.214455110107284,0.0436361395971164,-0.0801,0.2734,0.1782
ALL,Oxaliplatin,22,0.4662902315076229,0.4359120448198545,-0.1233,0.2607,0.0198
ALL,AZD6738,22,-0.0030491247882552,-0.2243701987128299,-0.0753,0.243,0.3663
ALL,VE821,22,-0.1125917560700169,-0.206336570192288,-0.0703,0.2737,0.5941
ALL,PD173074,22,0.0021456804065499,-0.054362504485298,-0.0821,0.2946,0.3861
ALL,olaparib,23,0.4304347826086957,0.3535388688715561,-0.0846,0.2506,0.0099
ALL,SN-38,23,-0.4871541501976284,-0.6474693602770974,-0.0919,0.2515,0.9703
ALL,AGI-5198,22,-0.244042913608131,-0.4090333555370997,-0.1139,0.2905,0.6733
ALL,Vinorelbine,22,0.1424054206662902,0.0904975686930982,-0.0625,0.2574,0.2178
ALL,fluorouracil,23,0.5005928853754942,0.4531221386673466,-0.07,0.2426,0.0099
ALL,MK-8776,22,0.0222473178994918,-0.1163666209955274,-0.0693,0.2753,0.3861
ALL,OTX015,21,-0.1483116883116882,-0.2614038017224053,-0.0941,0.2924,0.5842
ALL,Lenalidomide,20,0.0165413533834586,-0.1356981430224608,-0.0463,0.2922,0.4356
ALL,Ipatasertib,22,0.2374929418407679,0.120257140068426,-0.0455,0.2858,0.198
ALL,bortezomib,23,0.1428853754940711,0.125950082850652,-0.0953,0.2517,0.2178
ALL,GW441756,22,-0.1677018633540372,-0.2947289505903807,-0.0775,0.2752,0.6139
ALL,SCH772984,22,0.1277244494635799,0.0718527659497529,-0.1144,0.2585,0.1782
ALL,ruxolitinib,22,-0.2054206662902315,-0.3617913012223525,-0.0658,0.2575,0.6832
ALL,nilotinib,23,-0.1274703557312252,-0.255699299302521,-0.0599,0.2852,0.6139
ALL,staurosporine,22,-0.0848108413325804,-0.3101847776618581,-0.0806,0.2603,0.495
ALL,YK 4-279,23,-0.2199604743083004,-0.3537435581125032,-0.0949,0.263,0.6733
ALL,Rucaparib,20,-0.0917293233082706,-0.2092180980417133,-0.0823,0.2852,0.4851
ALL,ABT-737,23,0.3511857707509881,0.2784615703518854,-0.0677,0.2819,0.0891
ALL,Talazoparib,22,0.281535855448899,0.1928451578637082,-0.0937,0.2618,0.1188
ALL,AZD7762,23,-0.0517786561264822,-0.1797903610985344,-0.0522,0.2814,0.5248
ALL,LY2109761,21,-0.2355844155844156,-0.3105332488195353,-0.0996,0.2821,0.6733
ALL,AT13148,22,-0.1128176171654432,-0.1978165466290979,-0.0799,0.2685,0.5446
ALL,PFI3,21,-0.3163636363636363,-0.3879429768430726,-0.0617,0.2614,0.7921
ALL,entinostat,22,-0.1453416149068323,-0.1944350673241939,-0.0784,0.2926,0.604
ALL,SGC0946,22,-0.350197628458498,-0.4142903451265494,-0.1515,0.2395,0.7723
ALL,NU7441,20,-0.0493233082706766,-0.2367013139391922,-0.0934,0.2921,0.4554
ALL,SB216763,22,0.5507622811970639,0.4978689680745561,-0.1201,0.2966,0.0099
ALL,AZD5363,22,0.0906832298136646,-0.0202857943609518,-0.0169,0.2705,0.3267
ALL,WEHI-539,21,0.5181818181818182,0.4684509059001835,-0.1017,0.2911,0.0198
ALL,navitoclax,23,-0.0353754940711462,-0.1215697513253047,-0.1197,0.2915,0.3762
ALL,veliparib,21,-0.0768831168831168,-0.1770117349964677,-0.1128,0.2957,0.4455
ALL,NVP-BEZ235,23,0.2610671936758894,0.0631816082177289,-0.1097,0.2435,0.0495
ALL,OSI-027,23,-0.3094861660079052,-0.4225759706340853,-0.0954,0.2716,0.7723
ALL,VE-822,21,-0.3353246753246753,-0.452974251651653,-0.0934,0.2646,0.7921
ALL,Wnt-C59,21,0.265974025974026,0.1374792384796566,-0.0532,0.2785,0.1386
ALL,XAV939,21,-0.0748051948051947,-0.1637199297069231,-0.0499,0.2731,0.5347
ALL,CCT007093,20,-0.5157894736842105,-0.6398978348794159,-0.1132,0.2972,0.9109
ALL,JNK Inhibitor VIII,22,0.2004517221908526,0.1139830077932385,-0.0488,0.27,0.2079
ALL,Ulixertinib,22,-0.1295313382269904,-0.274200176782951,-0.098,0.2602,0.5545
ALL,crizotinib,23,-0.0104743083003952,-0.0912782475714969,-0.122,0.267,0.3465
ALL,AZD8055,20,-0.0006015037593984,-0.0461152093448799,-0.14,0.2812,0.3267
ALL,AMG-319,22,0.1412761151891586,0.0191340010009442,-0.0833,0.2489,0.1782
ALL,GDC-0941,23,0.2494071146245059,0.1479727072818585,-0.0763,0.2692,0.1584
ALL,trametinib,23,0.0353754940711462,-0.1159353361186284,-0.0894,0.2764,0.3366
ALL,AZD8186,22,0.394240542066629,0.2877890956222854,-0.0834,0.2492,0.0396
ALL,ABT-199,23,0.6191699604743083,0.554854399616913,-0.0254,0.2712,0.0099
ALL,BMS-754807,21,-0.2444155844155844,-0.3253410250516956,-0.0428,0.2715,0.7921
ALL,EHT-1864,20,0.2036090225563909,0.144893478407897,-0.0729,0.2749,0.1881
ALL,NVP-ADW742,23,-0.3731225296442688,-0.4406890499788584,-0.0319,0.2682,0.901
ALL,EPZ5676,22,-0.3296442687747035,-0.4263125153427782,-0.0981,0.2682,0.8119
ALL,BMS-345541,21,-0.1449350649350649,-0.2245252051109883,-0.1166,0.2792,0.5149
ALL,MST-312,23,0.0294466403162055,-0.0835187134335497,-0.0984,0.2774,0.3861
ALL,sorafenib,23,-0.3863636363636363,-0.462389749298536,-0.0639,0.262,0.8416
ALL,SB590885,20,-0.0875187969924811,-0.1543753524135472,-0.1266,0.2867,0.4653
ALL,KRAS (G12C) Inhibitor-12,21,-0.5168831168831168,-0.6271779883762463,-0.1191,0.2921,0.9307
ALL,GSK1904529A,22,0.2110671936758893,0.098354250892798,-0.0481,0.2837,0.1683
ALL,pevonedistat,23,-0.0877470355731225,-0.3825096500458215,-0.1052,0.2624,0.4752
ALL,BIRB-796,23,-0.0436758893280632,-0.1149617727159957,-0.0735,0.2975,0.5149
ALL,Luminespib,22,-0.0242800677583286,-0.0560257490358371,-0.1103,0.2844,0.396
ALL,RVX-208,21,-0.2228571428571428,-0.2807101226656822,-0.043,0.305,0.7327
ALL,tamoxifen,23,0.2260869565217391,0.1738073797235511,-0.0906,0.2475,0.099
ALL,azacitidine,20,-0.1966917293233082,-0.3078485554744718,-0.0827,0.28,0.6436
ALL,ZM447439,20,-0.4225563909774436,-0.570979145726922,-0.1389,0.2692,0.8614
ALL,bleomycin A2,20,-0.1395488721804511,-0.2451469582875093,-0.1187,0.2676,0.5248
ALL,Niraparib,21,0.4966233766233767,0.4773786628488238,-0.0911,0.2583,0.0198
ALL,BIBR-1532,23,0.2098814229249012,0.163275904654026,-0.0958,0.2976,0.1881
ALL,dinaciclib,22,0.2564652738565782,0.1865836792365756,-0.0806,0.2524,0.0891
ALL,linsitinib,23,0.2974308300395257,0.2073351044852115,-0.0558,0.2442,0.099
ALL,MN-64,21,-0.101038961038961,-0.1437571186740409,-0.1049,0.2781,0.505
ALL,Sepantronium bromide,22,0.6377188029361943,0.6059083690969327,-0.0915,0.2673,0.0099
ALL,sirolimus,23,-0.0132411067193675,-0.1356859387719044,-0.064,0.2572,0.4455
ALL,UNC0638,20,0.0466165413533834,-0.0808618278942609,-0.0476,0.2701,0.4257
ALL,Motesanib,20,0.2553383458646616,0.1952640649752766,-0.0433,0.2657,0.1485
ALL,Sabutoclax,21,-0.1857142857142857,-0.3911420876744435,-0.0794,0.2719,0.5941
ALL,paclitaxel,23,-0.150790513833992,-0.2345284073327252,-0.0877,0.2528,0.6238
ALL,Refametinib,20,0.0604511278195488,-0.1072549123229487,-0.0424,0.3078,0.3762
ALL,BRD-K35604418,20,0.0514285714285714,0.0064061319633262,-0.0867,0.2912,0.3861
ALL,Ribociclib,22,-0.1286278938452851,-0.2011956102102081,-0.0935,0.2689,0.5545
ALL,axitinib,23,0.0725296442687747,-0.068700588429488,-0.0722,0.264,0.2871
ALL,Dactinomycin,22,0.2291360813099943,0.1571989818884835,-0.0781,0.2794,0.1584
ALL,P22077,22,-0.3556182947487295,-0.5025922935011246,-0.0998,0.2692,0.8317
ALL,WIKI4,22,-0.0389610389610389,-0.1451530547053771,-0.0725,0.2558,0.4158
ALL,CZC24832,21,-0.3109090909090909,-0.5057862049753067,-0.1023,0.2814,0.7723
ALL,WZ4003,21,-0.2454545454545454,-0.3757161766510857,-0.0675,0.2779,0.7228
ALL,gemcitabine,23,0.2357707509881423,0.1046297185872746,-0.1118,0.2619,0.099
ALL,Picolinici-acid,21,-0.4085714285714285,-0.509146199901515,-0.0331,0.2928,0.901
ALL,GSK2606414,21,-0.2657142857142857,-0.5277955020708611,-0.0466,0.273,0.7921
ALL,BYL-719,23,0.2391304347826087,0.1547979832571711,-0.0934,0.2609,0.1089
ALL,PD0325901,22,-0.1132693393562959,-0.2022633406121446,-0.0671,0.2829,0.5743
ALL,AZ960,21,-0.2262337662337662,-0.3029039388688975,-0.064,0.2826,0.7228
ALL,AGK-2,22,-0.0565782044042913,-0.1914847077986605,-0.0614,0.2695,0.4455
ALL,GSK591,22,0.0717108977978543,-0.081639038732776,-0.0844,0.2669,0.297
ALL,PRT062607,21,-0.215064935064935,-0.3153203048640322,-0.1172,0.2797,0.6238
ALL,PFI-1,22,-0.1591191417278374,-0.2781408283378209,-0.1422,0.2641,0.5347
ALL,MG-132,22,-0.100395256916996,-0.194682551026834,-0.1157,0.2601,0.4554
ALL,Bosutinib,20,-0.3007518796992481,-0.4388322368886442,-0.1036,0.3,0.7228
ALL,LCL161,20,-0.3428571428571428,-0.4487124038888395,-0.0488,0.2744,0.8713
ALL,cytarabine hydrochloride,20,-0.186766917293233,-0.3394605148565955,-0.1386,0.2789,0.5941
ALL,Lestaurtinib,20,-0.105563909774436,-0.3018316493435458,-0.0857,0.3002,0.505
ALL,MK-2206,23,-0.1796442687747035,-0.4747884047344462,-0.0636,0.2617,0.6535
ALL,GSK343,22,0.1760587238848108,0.0582721668643584,-0.0613,0.2637,0.198
