drug,disease,target,tclass,n_lines,rho,perm_p
PLX-4720,SKCM,BRAF,BRAF,53,0.504,0.01
PLX-4720,COAD/READ,BRAF,BRAF,48,0.447,0.01
dabrafenib,SKCM,BRAF,BRAF,45,0.44,0.01
trametinib,SKCM,MEK,MEK,46,0.566,0.01
selumetinib,SKCM,MEK,MEK,52,0.642,0.01
lapatinib,BRCA,EGFR/HER2,EGFR/HER2,48,0.502,0.01
erlotinib,BRCA,EGFR,EGFR/HER2,49,0.479,0.01
BMS-754807,SARC,IGF1R,IGF1R,30,0.528,0.01
linsitinib,SARC,IGF1R,IGF1R,30,0.429,0.03
nutlin-3,SARC,MDM2–p53,MDM2/p53,30,0.598,0.01
nutlin-3,COAD/READ,MDM2–p53,MDM2/p53,48,0.324,0.02
RITA,SARC,p53,MDM2/p53,28,0.729,0.01
BI-2536,PAAD,PLK1,PLK1,36,0.554,0.01
BI-2536,SKCM,PLK1,PLK1,53,0.495,0.01
AZD8055,SARC,mTOR,mTOR,30,0.561,0.01
AZD7762,BRCA,CHK1,CHK1,48,0.555,0.01
Talazoparib,SARC,PARP,PARP,24,0.726,0.01
olaparib,SARC,PARP,PARP,30,0.557,0.01
ABT-199,ALL,BCL2,BCL2,23,0.619,0.01
dasatinib,BRCA,SRC/ABL,SRC/ABL,49,0.529,0.01
vorinostat,SKCM,HDAC,HDAC,52,0.41,0.01
