drug,mechanism,n_tissues,best_rho,min_p,tissues
ML210,Ferroptosis (GPX4),2,0.6340711462450592,0.0099,"LUAD, SKCM"
"1S,3R-RSL-3",Ferroptosis (GPX4),3,0.6985979014800952,0.0099,"ESCA, SKCM, STAD"
ML162,Ferroptosis (GPX4),3,0.7101695960530373,0.0099,"LUAD, SKCM, STAD"
ABT-737,BH3-mimetic (BCL2 fam.),4,0.509472490073738,0.0099,"BRCA, OV, SARC, SCLC"
TW-37,BH3-mimetic (BCL2 fam.),5,0.5368831168831167,0.0099,"LIHC, LUAD, OV, SARC, STAD"
WEHI-539,BH3-mimetic (BCL2 fam.),5,0.5993927125506074,0.0099,"ALL, COAD, LAML, OV, SARC"
Sabutoclax,BH3-mimetic (BCL2 fam.),3,0.6144268774703557,0.0099,"COAD, SARC, SCLC"
leptomycin B,Nuclear export (XPO1),5,0.6587192118226599,0.0099,"BRCA, GBM, HNSC, SARC, SKCM"
KPT185,Nuclear export (XPO1),1,0.6876521739130433,0.0099,SARC
GSK461364,Mitotic checkpoint (WEE1/AURK/PLK1),4,0.5511290322580645,0.0099,"BRCA, COAD, LUAD, SKCM"
alisertib,Mitotic checkpoint (WEE1/AURK/PLK1),4,0.57027808676307,0.0099,"BRCA, SARC, SCLC, SKCM"
MK-1775,Mitotic checkpoint (WEE1/AURK/PLK1),6,0.6062905982905982,0.0099,"BRCA, COAD, DLBC, ESCA, SCLC, SKCM"
VX-680,Mitotic checkpoint (WEE1/AURK/PLK1),1,0.614557535487768,0.0099,BRCA
MG-132,Proteostasis / survivin,5,0.4796581196581196,0.0099,"BRCA, COAD, DLBC, LUAD, SCLC"
pevonedistat,Proteostasis / survivin,6,0.4938866930171278,0.0099,"BRCA, COAD, HNSC, PAAD, SARC, SCLC"
Sepantronium bromide,Proteostasis / survivin,8,0.6377188029361943,0.0099,"ALL, COAD, GBM, LAML, LUAD, SARC, SCLC, SKCM"
doxorubicin,Topoisomerase / DNA-damage,6,0.4359999999999999,0.0198,"BLCA, BRCA, OV, PAAD, SARC, SKCM"
teniposide,Topoisomerase / DNA-damage,6,0.5508374384236452,0.0099,"BRCA, GBM, OV, PAAD, SARC, STAD"
topotecan,Topoisomerase / DNA-damage,6,0.6255394883203559,0.0099,"BLCA, GBM, HNSC, OV, SARC, SKCM"
Camptothecin,Topoisomerase / DNA-damage,3,0.7092307692307692,0.0099,"GBM, SARC, SKCM"
methotrexate,Antimetabolite,6,0.5239408866995073,0.0099,"BLCA, COAD, ESCA, SARC, SCLC, SKCM"
gemcitabine,Antimetabolite,2,0.607563959955506,0.0198,"OV, SARC"
fluorouracil,Antimetabolite,8,0.6283116883116884,0.0099,"ALL, COAD, ESCA, LAML, LUAD, PAAD, SARC, UCEC"
