disease,n_cells,n_gdsc,n_ctrp,n_drugs
LUAD,69,56,61,678
SKCM,53,33,48,678
BRCA,49,45,37,678
COAD/READ,49,40,43,678
SCLC,42,38,20,678
OV,38,25,35,678
PAAD,37,27,37,678
GBM,33,21,32,678
HNSC,33,16,32,678
STAD,32,22,24,678
SARC,30,25,29,678
UCEC,27,10,25,669
DLBC,26,26,0,285
ESCA,25,23,24,678
BLCA,25,16,23,678
LIHC,24,13,21,673
ALL,23,22,3,673
LAML,21,21,1,611
KIRC,21,13,20,678
SITE_LUNG,20,15,17,678
LUSC,19,14,18,669
NB,16,12,14,671
MM,14,14,2,633
SITE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,11,9,3,669
THCA,11,9,10,673
UNABLE TO CLASSIFY,10,10,10,673
LGG,9,9,8,675
LCML,9,9,3,606
MESO,8,6,8,662
SITE_BILIARY_TRACT,8,1,8,658
PRAD,6,6,5,669
SITE_CENTRAL_NERVOUS_SYSTEM,3,0,3,464
MB,3,3,3,655
SITE_BONE,2,0,2,419
CLL,2,2,1,434
SITE_SMALL_INTESTINE,1,1,0,249
SITE_SOFT_TISSUE,1,1,1,613
