drug_uid,n_shared_lines,spearman_rho
AAAQFGUYHFJNHI,397,0.3441604348365763
AAKJLRGGTJKAMG,420,0.5109129706937162
AJRGHIGYPXNABY,392,0.14061077541653763
AOJJSUZBOXZQNB,422,0.42626626435140447
AQGNHMOJWBZFQQ,65,0.4416083916083916
AYUNIORJHRXIBJ,422,0.5492726482464482
BCFGMOOMADDAQU,402,0.4567687003127657
BDUHCSBCVGXTJM,418,0.38522863460731877
BFSMGDJOXZAERB,206,0.463753443454239
BGBNULCRKBVAKL,198,0.016176531232615705
BKWJAKQVGHWELA,421,0.41021891054646553
BPEGJWRSRHCHSN,419,0.07095795069223933
CBPNZQVSJQDFBE,215,0.28425221570190057
CMSMOCZEIVJLDB,218,0.11587222559114208
CXQHYVUVSFXTMY,416,0.4601334686506308
CYOHGALHFOKKQC,421,0.6360610297092164
DNVXATUJJDPFDM,421,0.4071918308714158
FBOZXECLQNJBKD,381,0.20134723080419523
FDKXTQMXEQVLRF,349,-0.03147882825571157
FDLYAMZZIXQODN,425,0.35267741228039945
FJHBVJOVLFPMQE,379,0.37964009945052596
GCIKSSRWRFVXBI,11,-0.045454545454545456
GHASVSINZRGABV,427,0.4226555470315931
GXJABQQUPOEUTA,415,0.3842025059727869
HFNKQEVNSGCOJV,397,0.13760092363501372
HHZIURLSWUIHRB,412,0.06791851865691328
HKSZLNNOFSGOKW,116,0.34042086973573527
HLXSCTYHLQHQDJ,425,0.4598243780830637
HPLNQCPCUACXLM,389,0.3762263265698509
IAYGCINLNONXHY,426,0.49241995763432905
INVTYAOGFAGBOE,396,0.5071355861123595
IRTDIKMSKMREGO,96,0.3647178513293543
IXOXBSCIXZEQEQ,327,0.014882460503738627
JLYAXFNOILIKPP,421,0.3956048940460797
JNAHVYVRKWKWKQ,424,0.08908262047016617
JOGKUKXHTYWRGZ,312,0.32564787554708724
JROFGZPOBKIAEW,424,0.18055875935720392
KPBNHDGDUADAGP,215,0.47781610146118336
KTEIFNKAUNYNJU,415,0.4301093963026391
KVLFRAWTRWDEDF,364,0.3413070117926905
LHNIIDJUOCFXAP,432,0.428285578146299
LIRYPHYGHXZJBZ,210,0.7957461930611714
LQBVNQSMGBZMKD,273,0.09895392873754455
LQVXSNNAFNGRAH,421,0.49929561224332747
LSFLAQVDISHMNB,415,0.26028953631385543
MIQUEZGHEJGPJB,408,0.4399684773107574
MLDQJTXFUGDVEO,413,0.22441223942268365
MPUQHZXIXSTTDU,415,0.5595583870622445
MVCOAUNKQVWQHZ,387,-0.03437684816798712
NKANXQFJJICGDU,417,0.07887532055879615
NMUSYJAQQFHJEW,354,0.12010835674952813
NRUKOCRGYNPUPR,179,0.4771843964436696
OYVAGSVQBOHSSS,356,0.4433605812222374
PGFQXGLPJUCTOI,419,-0.004196083576522136
PIMQWRZWLQKKBJ,196,0.5327574528444725
PKCDDUHJAFVJJB,421,0.4649915618105788
PQAPVTKIEGUPRN,170,0.2812797690291838
QFJCIRLUMZQUOT,418,0.257210001146069
QOECJCJVIMVJGX,354,0.04047419550084704
RCINICONZNJXQF,412,0.1988303561738335
RGGFUBMUOVFZEF,357,0.06833744134530666
RITAVMQDGBJQJZ,417,0.5099113337343101
SDUQYLNIPVEERB,382,0.6063685965019954
SHGAZHPCJJPHSC,63,0.1157889684978756
STUWGJZDJHPWGZ,305,0.4252964813050864
SVENPFFEMUOOGK,417,0.11835310340541705
TZYWCYJVHRLUCT,169,0.5327391274724225
UCFGDBYHRUNTLO,354,0.5547409754186925
UHDGCWIWMRVCDJ,366,0.4928043772971388
ULDXWLCXEDXJGE,398,0.41917014231511657
ULXXDDBFHOBEHA,389,0.49247123639546114
VABYUUZNAVQNPG,67,0.11357650251416716
VRQMAABPASPXMW,396,0.2840384529913561
VWUXBMIQPBEWFH,109,0.2246564171867326
WAEXFXRVDQXREF,405,0.5590088776164642
XGALLCVXEZPNRQ,414,0.31270499162229837
XQVVPGYIWAGRNI,407,0.576305401645564
XRKYMMUGXMWDAO,414,0.11703039399153631
XXJWYDDUDKYVKI,208,0.353790596872588
XYFPWWZEPKGCCK,284,0.46202174130331003
YXEWPGYLMHXLPS,302,0.038920954629412814
YZDJQTHVDDOVHR,417,0.39831949274076767
ZBNZXTGUTAYRHI,428,0.7058006161527722
ZDZOTLJHXYCWBA,199,0.5457890002242668
ZLHFILGSQDJULK,415,0.442658993379039
ZWVZORIKUNOTCS,406,0.5285850420974377
