disease,n_cells,mutations,fusions,methylation,metabolomics,rppa,mirna,chromatin,cn_summary
LUAD,69,67,69,61,69,69,68,65,65
SKCM,53,50,53,51,51,53,53,49,51
BRCA,49,49,49,46,47,46,49,49,49
COAD/READ,49,48,49,44,49,49,49,49,46
SCLC,42,42,42,41,42,39,42,41,42
OV,38,38,38,36,37,37,38,35,38
PAAD,37,37,37,32,37,37,36,36,37
GBM,33,33,33,29,33,33,32,31,31
HNSC,33,33,33,31,32,32,33,32,31
STAD,32,32,32,29,32,32,32,32,32
SARC,30,30,30,26,30,29,30,30,29
UCEC,27,27,27,21,27,27,27,26,27
DLBC,26,26,26,25,26,25,26,26,26
ESCA,25,25,25,22,25,25,24,25,25
BLCA,25,25,25,23,25,24,25,25,22
LIHC,24,24,24,19,24,22,24,23,24
ALL,23,23,23,22,23,20,23,23,21
LAML,21,21,21,19,21,21,20,20,21
KIRC,21,21,21,20,21,19,21,20,21
SITE_LUNG,20,19,20,18,20,20,20,18,18
LUSC,19,19,19,13,19,16,19,18,19
NB,16,16,16,15,16,16,16,16,16
MM,14,14,14,12,14,14,14,14,14
SITE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,11,11,11,9,11,9,11,11,10
THCA,11,11,11,11,11,11,11,11,11
UNABLE TO CLASSIFY,10,10,10,8,10,9,10,10,10
LGG,9,9,9,7,9,9,9,9,8
LCML,9,9,9,9,9,8,9,8,9
MESO,8,8,8,6,7,8,8,7,8
SITE_BILIARY_TRACT,8,8,8,7,8,8,8,8,7
PRAD,6,6,6,5,6,6,6,6,6
SITE_CENTRAL_NERVOUS_SYSTEM,3,3,3,3,3,3,3,3,3
MB,3,3,3,3,3,3,3,3,3
SITE_BONE,2,1,2,1,0,0,2,0,2
CLL,2,2,2,2,2,2,2,2,2
SITE_SMALL_INTESTINE,1,1,1,0,0,0,1,0,1
SITE_SOFT_TISSUE,1,1,1,0,0,0,1,0,1
