disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,n_features,perm_mean,perm_sd,perm_p,perm_z,n_perm
BLCA,both,mean,False,13002,25,660,24,-0.1260104733491736,-0.16183355058948964,-0.09018739610885754,-0.11130021676150367,0.917803287836571,-0.0071919418175767635,,,,,,,,,,,,
BLCA,both,drugmean,False,13002,25,660,24,0.11409676371518632,0.10777728956823544,0.12041623786213719,0.09159890543934532,0.9308176574303986,-0.035959231759979726,3.0,25.0,0.0,0.08251279596763124,0.12270061157589102,0.4604516980787314,,,,,,
BLCA,both,enet_resid,True,13002,25,660,24,-0.040118645302673006,-0.06855631377632006,-0.011680976829025958,-0.047267424558454584,0.936854504648504,-0.013038825556298938,,,,,,,,,,,,
BLCA,both,enet_expr,False,13002,25,660,24,-0.10480457888100528,-0.140180100728219,-0.06942905703379157,-0.06878674107639533,0.9211174362823888,-0.014492966944389219,,,,,,,,,,,,
BLCA,both,enet_pathwaypcs,True,13002,25,660,24,0.03376639996341968,-0.016337543078651796,0.08387034300549115,0.011328607258824935,0.9324590004037526,-0.0035514249852079518,,,,,,,24.0,,,,,
BLCA,both,enet_pathway,True,13002,25,660,24,-0.02066768880695753,-0.05978035124938447,0.018444973635469406,-0.02578667610840459,0.9381941334269701,-0.0159411647152329,,,,,,,1809.0,0.0013,0.0095,0.9901,-2.301,100.0
BLCA,both,enet_pcs_pathway,True,13002,25,660,24,-0.007701354461254686,-0.027362634588517176,0.011959925666007806,-0.01582652098509079,0.9381311400201525,-0.01580505675950339,,,,,,,1833.0,0.0009,0.0097,0.802,-0.887,100.0
BRCA,both,mean,False,25102,49,667,48,-0.09722252262486078,-0.12469271120031929,-0.06975233404940227,-0.1065939290715344,1.0024737195288997,-0.0069203325430892805,,,,,,,,,,,,
BRCA,both,drugmean,False,25102,49,667,48,0.1763280572511432,0.16772596212210766,0.18493015238017874,0.16609150803978376,0.9926023206072468,0.012809678737089714,3.0,49.0,0.047619047619047616,0.1382692301013686,0.20068044634352022,0.5210134565027786,,,,,,
BRCA,both,enet_resid,True,25102,49,667,48,0.008457344888727033,-0.005736113786270045,0.022650803563724113,0.0002682430912827768,0.9951010632483619,-0.005041809467688107,,,,,,,,,,,,
BRCA,both,enet_expr,False,25102,49,667,48,-0.045179410608449364,-0.07566902746156276,-0.01468979375533597,-0.02811471530314032,1.0041822992759837,-0.01036297979924341,,,,,,,,,,,,
BRCA,both,enet_pathwaypcs,True,25102,49,667,48,0.02103107213454087,-0.014452236164311995,0.056514380433393734,0.015980963129330315,0.993962887708447,-0.0027576821707791187,,,,,,,48.0,,,,,
BRCA,both,enet_pathway,True,25102,49,667,48,0.07693339254221045,0.05560658739440562,0.09826019769001527,0.07237786674758921,0.9904353762895788,0.004350922907670229,,,,,,,1809.0,-0.0006,0.0078,0.0099,9.905,100.0
BRCA,both,enet_pcs_pathway,True,25102,49,667,48,0.0721945487364909,0.05831839274303259,0.0860707047299492,0.06896408353292297,0.9909725890905328,0.00326568557946878,,,,,,,1857.0,-0.0004,0.008,0.0099,9.087,100.0
