disease,cohort,model,residualized,n_rows,n_lines,n_drugs,n_pcs,spearman,spearman_lo,spearman_hi,pearson,rmse,r2,rank_k,rank_n_lines_scored,rank_topk_hit_rate@3,rank_kendall_tau,rank_spearman_per_line,rank_ndcg@3,n_features
LUAD,gdsc,mean,False,13765,56,285,50,-0.07512397282137928,-0.08553266522956898,-0.06471528041318958,-0.0717968789542431,0.8597892247590504,-0.003045878697388904,,,,,,,
LUAD,gdsc,drugmean,False,13765,56,285,50,0.25643088738038855,0.25107561302426407,0.26178616173651303,0.25593922406554687,0.8318379740274132,0.06110557724476913,3.0,56.0,0.041666666666666664,0.19007789796761468,0.272518318964661,0.4468117752444134,
LUAD,gdsc,enet_resid,True,13765,56,285,50,0.17268074826319837,0.15491511984316778,0.19044637668322897,0.15267946341174016,0.8230940092082288,0.020915028448499594,,,,,,,
LUAD,gdsc,enet_expr,False,13765,56,285,50,0.15187316000751233,0.12788530435335368,0.17586101566167098,0.13153846430968275,0.8513875580401642,0.01645566514067487,,,,,,,
LUAD,ctrp,mean,False,24203,61,479,50,-0.08858822307453196,-0.11948407420006506,-0.05769237194899886,-0.0895200327321933,0.982817371797327,-0.005427319342683701,,,,,,,
LUAD,ctrp,drugmean,False,24203,61,479,50,0.09261248716187682,0.07587350026098179,0.10935147406277186,0.09826990925613521,0.9823361749539693,-0.0044530660993512775,3.0,61.0,0.01092896174863388,0.08373826438960573,0.12341208651914874,0.5100199767511256,
LUAD,ctrp,enet_resid,True,24203,61,479,50,-0.03463488415915265,-0.08014843831001436,0.010878669991709063,-0.03385098544087756,0.9842558370563192,-0.003924623874863054,,,,,,,
LUAD,ctrp,enet_expr,False,24203,61,479,50,-0.10228754524027232,-0.12673651185727333,-0.0778385786232713,-0.09270663224249202,0.9847366443582223,-0.009358365770813126,,,,,,,
LUAD,both,mean,False,37968,69,678,50,-0.05534322669831708,-0.07156836349068071,-0.03911808990595345,-0.057996196185090956,0.9410279113465305,-0.0021123027285015806,,,,,,,
LUAD,both,drugmean,False,37968,69,678,50,0.16630609519035727,0.16275720607637964,0.1698549843043349,0.15971661148315813,0.931863286727177,0.01731001945871837,3.0,69.0,0.00966183574879227,0.12324411934217482,0.18153105207690515,0.4735030804037204,
LUAD,both,enet_resid,True,37968,69,678,50,-0.030878172722733754,-0.0643873114044093,0.0026309659589417965,-0.03538852512346531,0.9333362626237024,-0.003168696212973776,,,,,,,
LUAD,both,enet_expr,False,37968,69,678,50,-0.0596640240049686,-0.07924723821795855,-0.040080809791978644,-0.05343160770573317,0.9425096200590086,-0.005270803687759873,,,,,,,
LUAD,both,enet_resid_genetics,True,37968,69,678,50,0.014275246341224452,-0.02112334278160853,0.04967383546405743,-0.01623173185384536,0.9352618778526851,-0.00731902306833585,,,,,,,650.0
SKCM,gdsc,mean,False,7714,33,285,32,-0.10360700350844425,-0.1234014084390208,-0.0838125985778677,-0.09624438274231051,0.9427714093334085,-0.005284214889089122,,,,,,,
SKCM,gdsc,drugmean,False,7714,33,285,32,0.3119400463122487,0.3035416132747019,0.3203384793497955,0.464186308326766,0.8353754716998756,0.21069249225770567,3.0,33.0,0.3737373737373737,0.24665302563508976,0.3514493644205407,0.6924204937334708,
SKCM,gdsc,enet_resid,True,7714,33,285,32,-0.023540844368115297,-0.07371724999224816,0.026635561256017567,-0.026085507598902696,0.8373792673018434,-0.004803828146226596,,,,,,,
SKCM,gdsc,enet_expr,False,7714,33,285,32,-0.1076442818621554,-0.1346538576925745,-0.08063470603173628,-0.09805004558960448,0.9444716317690922,-0.008926126619918451,,,,,,,
SKCM,ctrp,mean,False,18911,48,443,47,-0.07250578781514375,-0.09191615806128775,-0.053095417568999735,-0.07490328501322877,0.9507325948629589,-0.003275080229428262,,,,,,,
SKCM,ctrp,drugmean,False,18911,48,443,47,0.18449208888562468,0.18322626614585183,0.18575791162539754,0.22852732401713402,0.9277717025948771,0.04459936234691601,3.0,48.0,0.25,0.14602508395992667,0.21370765005752856,0.6992953512831231,
SKCM,ctrp,enet_resid,True,18911,48,443,47,-0.042494679449680536,-0.06753990550802026,-0.017449453391340814,-0.036785568346712205,0.9300487031729539,-0.004918139418268064,,,,,,,
SKCM,ctrp,enet_expr,False,18911,48,443,47,-0.07641872857931094,-0.08790873924720058,-0.0649287179114213,-0.05445030423129291,0.952951239022395,-0.007967299896285418,,,,,,,
SKCM,both,mean,False,26630,53,644,50,-0.06730698188756513,-0.07882583173071511,-0.05578813204441516,-0.063798916999021,0.9481491638702257,-0.002311858430221658,,,,,,,
