ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,core_enrichment
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,27,0.685666392737972,2.20964638911888,2.2781583758129e-06,0.000228068966289714,WWTR1/MPZ/POU3F2/PMP22/HMGCR/NAB1/LAMB1/MBP/SOX10/LAMC1/GJB1/EGR2/CYP51A1/SREBF2/POU3F1/MAG/DAG1/NAB2
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM,36,0.611263334461262,2.08339061716674,2.49719964044377e-05,0.00160712634002846,B4GALT6/CHST2/GLB1L/CHST1/ST3GAL6/HEXB/GNS/B3GNT2/B3GNT7/ACAN/B4GALT3/B4GALT5/HEXA/B3GNT3/ST3GAL4/CHST6/GALNS/B3GNT4/B4GALT4/GLB1L2/PRELP/ST3GAL2/OGN/SLC35D2/KERA
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI,17,0.697839254185729,1.9719141538592,0.000261603288846759,0.013094697958385,PIGP/PIGX/PIGH/PIGM/PIGG/PIGO/PIGF/PIGC/PIGN/PIGA
REACTOME_SIALIC_ACID_METABOLISM,REACTOME_SIALIC_ACID_METABOLISM,33,0.591380231153293,1.96825451354776,5.41278216864003e-05,0.00325127782262978,ST6GAL1/CMAS/NPL/ST8SIA1/ST8SIA5/ST3GAL6/ST3GAL5/ST8SIA2/ST8SIA3/ST6GALNAC3/ST8SIA4/CTSA/ST3GAL4/NEU1
REACTOME_CHOLESTEROL_BIOSYNTHESIS,REACTOME_CHOLESTEROL_BIOSYNTHESIS,26,0.611248162019636,1.95614462851047,0.000507200634138934,0.0198690335373556,ARV1/HSD17B7/HMGCR/DHCR24/FDFT1/SC5D/CYP51A1/SREBF2/MSMO1/HMGCS1/DHCR7/SQLE/ACAT2/FDPS/LBR
REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS,61,0.507467899990394,1.91978674662326,4.4468717436832e-05,0.00276319409728177,ST6GAL1/B4GALT6/GALNT11/GCNT7/MUC5B/B3GNT2/GALNT2/B3GNT7/MUC7/B4GALT5/MUC15/ST6GALNAC3/MUCL1/B3GNT5/B3GNT3/MUC21/ST3GAL4/MUC20/GCNT3/MUC3A/GALNT1/GALNTL5/GALNT7/B3GNT4/GALNT3/B3GNTL1/ST3GAL2/GALNT18
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,28,0.587253441001508,1.90943925511104,0.000623206362990509,0.0224603573221779,B4GALT6/CHST2/CHST1/ST3GAL6/B3GNT2/B3GNT7/ACAN/B4GALT3/B4GALT5/B3GNT3/ST3GAL4/CHST6/B3GNT4/B4GALT4/PRELP/ST3GAL2/OGN/SLC35D2/KERA
REACTOME_DISEASES_OF_METABOLISM,REACTOME_DISEASES_OF_METABOLISM,262,0.414919800596856,1.90430853379065,1.30276170463194e-08,1.67684042267625e-06,ALG6/CSPG4/MPDU1/CYP7B1/MTR/POMGNT1/GSS/TPMT/SLC26A2/CYP27A1/ADAMTS20/SDC3/ADAMTS17/GPC6/SFTPC/CD320/ADAMTS9/ALG11/DLD/MCCC1/HEXB/MUC5B/CHSY1/GNS/FDX1/MMAB/G6PC3/SFTPA1/BCAN/CUBN/ADAMTS13/CSPG5/SRD5A3/ACAN/THBS2/PCCB/UBB/HIBCH/B3GAT3/MUC7/MMADHC/ALG12/ALG3/GALT/MUC15/MAOA/MUCL1/GYG2/CFP/MCCC2/SI/SFTPB/ADAMTS3/MMAA/GCLC/HEXA/IVD/ALG1/FDXR/MUC21/CTSA/MUC20/CHST6/NUS1/GYS1/ARSB/GPC3/EXT2/CYP11B1/NEU1/MUC3A/MC2R/DAG1/NOTCH2/IDH1/GYG1/CYP2R1/PPM1K/MAT1A/GALNS/PC/BCKDHB/GUSB/SLC34A2/AHCY/TBXAS1/PGM1/PMM2/SDC2/VCAN/SLC25A15/GALNT3/UGT1A1/DCXR/PRELP/OPLAH/ACY1/ADAMTS4/SPON2/SLC35D1/ARG1/GPC1/HSPG2/GALE/SBSPON/OGN/ADAMTS16/CYP19A1/POMT2/DCN/MMACHC
REACTOME_ZYMOSTENOL_BIOSYNTHESIS_VIA_LATHOSTEROL_KANDUTSCH_RUSSELL_PATHWAY,REACTOME_ZYMOSTENOL_BIOSYNTHESIS_VIA_LATHOSTEROL_KANDUTSCH_RUSSELL_PATHWAY,8,0.815741642034269,1.89090344647252,0.000540272156739947,0.0201673144815673,HSD17B7/DHCR24/CYP51A1/SREBF2/MSMO1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,20,0.640469558983929,1.89065952714858,0.000458953015888,0.0187962121506858,FOXO1/NKX2-2/AKT3/MAFA/SLC2A2/PDX1/HNF4A/PKLR
