ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,core_enrichment
REACTOME_S_PHASE,REACTOME_S_PHASE,148,0.595162529454513,2.71615276645786,6.08588421072685e-20,3.66370229485756e-17,CDK4/GINS1/WEE1/ORC1/POLD3/PSMC2/SKP2/POLE3/PRIM1/RFC2/POLA2/GINS4/RFC3/RBBP4/MCM5/RBX1/E2F1/PCNA/MCM7/POLD1/LIN9/AKT2/CKS1B/MCM6/CDC45/POLA1/PDS5B/LIG1/MCM4/PSMB1/SMC3/ESCO2/GMNN/CDK2/FEN1/RPA2/MCM2/POLE/CDC6/CUL1/MCM8/CDCA5/RFC4/PSMB7/ORC5/CDC25A/CCNE1/STAG1/SMC1A/PSMC3/DNA2/GINS3/POLE2/UBB/MCM3/FZR1/CDKN1B/PSMD8/PDS5A/GINS2/UBE2E1/RFC5/RFC1/ANAPC10/CCNE2/CCNA1/ANAPC2/PSMD11/POLD2/UBE2C/PSMA4/LIN52/PSMB2/ANAPC4/PSMC6/TFDP1/ANAPC11/ORC4/RAD21/PSMC1/MNAT1
REACTOME_SYNTHESIS_OF_DNA,REACTOME_SYNTHESIS_OF_DNA,107,0.620535647797807,2.71273139905006,1.86296694622037e-16,4.75955943975325e-14,GINS1/ORC1/POLD3/PSMC2/SKP2/POLE3/PRIM1/RFC2/POLA2/GINS4/RFC3/MCM5/RBX1/PCNA/MCM7/POLD1/MCM6/CDC45/POLA1/LIG1/MCM4/PSMB1/GMNN/CDK2/FEN1/RPA2/MCM2/POLE/CDC6/CUL1/MCM8/RFC4/PSMB7/ORC5/CCNE1/PSMC3/DNA2/GINS3/POLE2/UBB/MCM3/FZR1/PSMD8/GINS2/UBE2E1/RFC5/RFC1/ANAPC10/CCNE2/CCNA1/ANAPC2/PSMD11/POLD2/UBE2C/PSMA4/PSMB2/ANAPC4/PSMC6/ANAPC11/ORC4/PSMC1
REACTOME_DNA_STRAND_ELONGATION,REACTOME_DNA_STRAND_ELONGATION,32,0.780975900298296,2.70558822543428,5.51385452287014e-12,5.53223403794638e-10,GINS1/POLD3/PRIM1/RFC2/POLA2/GINS4/RFC3/MCM5/PCNA/MCM7/POLD1/MCM6/CDC45/POLA1/LIG1/MCM4/FEN1/RPA2/MCM2/MCM8/RFC4/DNA2/GINS3/MCM3/GINS2/RFC5/RFC1
REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION,123,0.601432614074314,2.67947075857986,2.12678567096933e-17,7.68194984354122e-15,GINS1/ORC1/POLD3/PSMC2/SKP2/POLE3/PRIM1/RFC2/MGME1/POLA2/GINS4/RFC3/MCM5/RBX1/CDC7/PCNA/MCM7/POLD1/DBF4/MCM6/CDC45/POLA1/LIG1/MCM4/PSMB1/GMNN/CDK2/FEN1/RPA2/MCM2/POLE/CDC6/CUL1/MCM8/RFC4/PSMB7/ORC5/CCNE1/POLRMT/PSMC3/DNA2/GINS3/POLE2/UBB/MCM3/FZR1/PSMD8/GINS2/UBE2E1/RFC5/RFC1/ANAPC10/CCNE2/CCNA1/ANAPC2/PSMD11/POLD2/UBE2C/TOP3A/PSMA4/PSMB2/ANAPC4/PSMC6/ANAPC11/ORC4/PSMC1/SSBP1/CDT1/MCM10/PSMA2/RPA3/RPA1/PSMA6
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,138,0.574006578731731,2.60209240576844,2.1083319777423e-16,4.75955943975325e-14,CDK4/WEE1/DHFR/ORC1/PSMC2/SKP2/POLE3/PRIM1/POLA2/E2F6/RBBP4/CCND2/CDKN2C/E2F2/MCM5/E2F1/CDC7/PCNA/MCM7/LIN9/E2F3/RBL1/DBF4/AKT2/CKS1B/MCM6/CDC45/MYBL2/CDKN2A/POLA1/MCM4/PSMB1/GMNN/CDK2/RPA2/MCM2/POLE/CDC6/CUL1/MCM8/PPP2R1A/FBXO5/PSMB7/CDK1/ORC5/CDC25A/CCNE1/PSMC3/ABL1/POLE2/UBB/MCM3/CDKN1B/PSMD8/CCNE2/CCNA1/PSMD11/CDKN1C/PPP2R3B/CCND3/DYRK1A/PSMA4/TOP2A/LIN52/PSMB2/PSMC6/TFDP1/ORC4/CDKN2B/PSMC1/MNAT1/CABLES1/CDT1/RRM2/MCM10/PSMA2/RPA3/RPA1/PSMA6/PPP2R2A
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,285,0.526422087002887,2.57332850390167,4.79789044874197e-25,4.332495075214e-22,WBP11/WDR33/PRPF38A/PRKRIP1/POLDIP3/THOC6/HNRNPR/SRSF2/NXF1/NUP85/POLR2J/NUP188/POM121/NUP62/BCAS2/CPSF4/GCFC2/XRN2/CRNKL1/NUP107/TFIP11/SRRT/CSTF2T/CPSF1/SRSF10/CPSF6/NCBP1/NUP214/POM121C/HNRNPK/BUD13/USP39/ALYREF/SNRNP25/HNRNPD/HTATSF1/DNAJC8/HNRNPL/CPSF7/NUP35/LSM5/POLR2E/CTNNBL1/GPATCH1/FUS/DHX9/SRSF6/SAP18/NXT1/SNRPE/PCBP2/EIF4A3/NUP153/PRCC/DHX35/POLR2F/RBM10/NUP205/PRPF31/HNRNPM/POLR2D/SNRNP48/SLBP/WDR70/LSM6/NUP160/DDX42/SNRNP40/DDX23/MAGOHB/U2AF1/THOC1/HNRNPA3/CPSF3/SNRPB2/SRRM1/PUF60/MAGOH/PPP1R8/LSM7/CACTIN/PCBP1/SF3B1/LSM3/RNPS1/WTAP/HNRNPU/RANBP2/SRSF12/SNRPA/POLR2I/CHTOP/SNRPN/RBMX/YBX1/UBB/SF3B4/GLE1/ACIN1/CWF19L2/SRSF1/SEH1L/NUP133/TXNL4A/DDX39B/SRSF4/PPIL1/SNRPA1/CLP1/SRSF11/PPP1R10/HNRNPC/TCERG1/PAPOLG/SARNP/SNRPB/SNRPD1/NUP50/SNRPD3/HNRNPA2B1/PABPN1/SNRNP70/CSTF1/PHF5A/PPIH/PAPOLA/RNPC3/SNRNP200/CCAR1/RAE1/METTL14/TPR/SF3A1/METTL3/NUP155/BUD31/DHX15/WBP4/SNRNP27/SDE2/CSTF3/SF3A2/U2SURP/RBM42/POLR2G/SNRPG/ZCRB1/ISY1/DDX5/POLR2B/PRPF4/RBM8A/NSRP1/SNRPF/PRPF6/PDCD7
REACTOME_MRNA_POLYADENYLATION,REACTOME_MRNA_POLYADENYLATION,126,0.567996191586918,2.53768169882711,6.86188108193359e-15,1.032713102831e-12,WDR33/HNRNPR/SRSF2/POLR2J/CPSF4/XRN2/SRRT/CSTF2T/CPSF1/SRSF10/CPSF6/NCBP1/HNRNPK/HNRNPD/HTATSF1/DNAJC8/HNRNPL/CPSF7/POLR2E/FUS/DHX9/SRSF6/SNRPE/PCBP2/POLR2F/RBM10/HNRNPM/POLR2D/DDX42/U2AF1/HNRNPA3/CPSF3/SNRPB2/PUF60/PPP1R8/PCBP1/SF3B1/HNRNPU/SRSF12/SNRPA/POLR2I/SNRPN/RBMX/YBX1/UBB/SF3B4/SRSF1/SRSF4/SNRPA1/CLP1/SRSF11/PPP1R10/HNRNPC/TCERG1/PAPOLG/SNRPB/SNRPD1/SNRPD3/HNRNPA2B1/PABPN1/SNRNP70/CSTF1/PHF5A/PAPOLA/CCAR1/SF3A1/DHX15/CSTF3/SF3A2/U2SURP/POLR2G/SNRPG/DDX5/POLR2B/SNRPF
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,33,0.725792229880666,2.52544183306493,1.36944497765438e-09,9.51237549863002e-08,ORC1/POLE3/PRIM1/POLA2/MCM5/CDC7/MCM7/DBF4/MCM6/CDC45/POLA1/MCM4/GMNN/CDK2/RPA2/MCM2/POLE/CDC6/MCM8/ORC5/POLE2/MCM3
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS,REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS,80,0.605786749863666,2.51960188076613,8.71074532658744e-12,7.86580302990846e-10,DNMT3A/HDAC2/UBE2I/ZNF519/RBBP4/ZNF669/MBD3/MORC2/ZNF331/SMARCB1/SMARCA4/ARID1A/MTA3/SUMO2/CHD3/ZNF136/ZNF273/BCL7A/EHMT1/DPF1/ZNF708/DNMT3L/ZNF610/SMARCD3/ZNF418/SMARCC1/ZNF765/ZNF141/SETDB1/SS18L1/ZNF93/TRIM28/PPHLN1/BCL7B/ATF7IP/SMARCD1/CBX5/ZNF649/GATAD2B/EHMT2/GATAD2A/ZNF680/SMARCC2/ZNF317/ZNF816/ACTL6A/MPHOSPH8/MTA2/ZNF320
REACTOME_MRNA_3_END_PROCESSING,REACTOME_MRNA_3_END_PROCESSING,151,0.548254073382339,2.51434891160042,1.86752187544516e-15,3.37274450705395e-13,WDR33/POLDIP3/THOC6/HNRNPR/SRSF2/POLR2J/CPSF4/XRN2/SRRT/CSTF2T/CPSF1/SRSF10/CPSF6/NCBP1/HNRNPK/ALYREF/HNRNPD/HTATSF1/DNAJC8/HNRNPL/CPSF7/POLR2E/FUS/DHX9/SRSF6/SNRPE/PCBP2/EIF4A3/POLR2F/RBM10/HNRNPM/POLR2D/DDX42/MAGOHB/U2AF1/THOC1/HNRNPA3/CPSF3/SNRPB2/SRRM1/PUF60/MAGOH/PPP1R8/PCBP1/SF3B1/RNPS1/HNRNPU/SRSF12/SNRPA/POLR2I/CHTOP/SNRPN/RBMX/YBX1/UBB/SF3B4/SRSF1/DDX39B/SRSF4/SNRPA1/CLP1/SRSF11/PPP1R10/HNRNPC/TCERG1/PAPOLG/SARNP/SNRPB/SNRPD1/SNRPD3/HNRNPA2B1/PABPN1/SNRNP70/CSTF1/PHF5A/PAPOLA/CCAR1/SF3A1/DHX15/CSTF3/SF3A2/U2SURP/POLR2G/SNRPG/DDX5/POLR2B/RBM8A/SNRPF
