ID,Description,NES,pvalue,p.adjust
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,2.113,0.001,0.01
REACTOME_TRNA_PROCESSING,REACTOME_TRNA_PROCESSING,2.085,0.001,0.01
REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION,2.074,0.001,0.01
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,2.064,0.001,0.01
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,-2.06,0.001,0.01
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,2.059,0.001,0.01
REACTOME_TRNA_AMINOACYLATION,REACTOME_TRNA_AMINOACYLATION,2.053,0.001,0.01
REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION,2.042,0.001,0.01
REACTOME_DNA_REPLICATION,REACTOME_DNA_REPLICATION,2.015,0.001,0.01
REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY,REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_LYSOSOME_BIOGENESIS_AND_AUTOPHAGY,2.009,0.001,0.01
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,2.0,0.001,0.01
REACTOME_GAP_JUNCTION_DEGRADATION,REACTOME_GAP_JUNCTION_DEGRADATION,-1.987,0.001,0.01
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,1.982,0.001,0.01
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,1.979,0.001,0.01
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,1.978,0.001,0.01
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,1.975,0.001,0.01
REACTOME_FANCONI_ANEMIA_PATHWAY,REACTOME_FANCONI_ANEMIA_PATHWAY,1.956,0.001,0.01
REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS,1.938,0.001,0.01
REACTOME_MITF_M_DEPENDENT_GENE_EXPRESSION,REACTOME_MITF_M_DEPENDENT_GENE_EXPRESSION,1.934,0.001,0.01
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-1.929,0.001,0.01
REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,1.919,0.001,0.01
REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,1.897,0.001,0.01
REACTOME_FCGR_ACTIVATION,REACTOME_FCGR_ACTIVATION,1.891,0.001,0.01
REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,REACTOME_DEFECTS_IN_VITAMIN_AND_COFACTOR_METABOLISM,1.887,0.001,0.01
REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION,1.884,0.001,0.01
REACTOME_SIALIC_ACID_METABOLISM,REACTOME_SIALIC_ACID_METABOLISM,1.884,0.001,0.01
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,1.883,0.001,0.01
REACTOME_NUCLEOTIDE_BIOSYNTHESIS,REACTOME_NUCLEOTIDE_BIOSYNTHESIS,1.877,0.001,0.01
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,1.869,0.001,0.01
REACTOME_SNRNP_ASSEMBLY,REACTOME_SNRNP_ASSEMBLY,1.867,0.001,0.01
REACTOME_SMOOTH_MUSCLE_CONTRACTION,REACTOME_SMOOTH_MUSCLE_CONTRACTION,-1.855,0.001,0.01
REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,REACTOME_SYNTHESIS_OF_VERY_LONG_CHAIN_FATTY_ACYL_COAS,1.854,0.001,0.01
REACTOME_RHO_GTPASES_ACTIVATE_KTN1,REACTOME_RHO_GTPASES_ACTIVATE_KTN1,-1.853,0.001,0.01
REACTOME_COMPLEX_I_BIOGENESIS,REACTOME_COMPLEX_I_BIOGENESIS,1.846,0.001,0.01
REACTOME_INSULIN_RECEPTOR_RECYCLING,REACTOME_INSULIN_RECEPTOR_RECYCLING,1.844,0.001,0.01
